card,card_order,ResourceID,identifier_content,identifier_type,name_givenname,alt_names,other_identifier_content,other_identifier_type,name_type,name_language,id,alternative_name_content,alternative_name_content_type,alternative_name_content_language
Actors,0,36c6b446-4dc5-5d2e-97bc-9d1678d317ea,https://n2t.net/ark:/15052/f5c9cc57-f9b9-408a-a211-9ca21ace1b19,Brabant Cloud ARK Identifier,Alix Le Clerc,,https://www.wikidata.org/entity/Q456845,Wikidata,Primary,Nederlands,,,,
Actors,0,372c73a9-7fd8-576a-8920-95cbb1909718,https://n2t.net/ark:/15052/87c1154b-7f18-4200-b054-792b4522d203,Brabant Cloud ARK Identifier,Maria van Brabant,Maria van Leuven,https://www.wikidata.org/entity/Q224685,Wikidata,Primary,Nederlands,,,,
Actors,0,37aac260-c593-5925-b46d-c8680851fe4f,https://n2t.net/ark:/15052/de488d20-897c-4425-901f-f2ff012fdf59,Brabant Cloud ARK Identifier,Cees van Dijk,C. van Dijk,,,Primary,Nederlands,,,,
Actors,0,383a2150-384c-5d89-b3fa-5b8605df1446,https://n2t.net/ark:/15052/47c3a6de-d78a-41ee-8856-18b9681854f9,Brabant Cloud ARK Identifier,Nicolaas van Myra,"['Sint-Nikolaas', 'Nicolaas van Patara', 'Sint-Nicolaas van Myra', 'Sint-Niklaas', 'Sint-Nicolaas', 'Nicolaas van Bari', 'Nicolaas']",https://www.wikidata.org/entity/Q44269,Wikidata,Primary,Nederlands,,,,
Alternate names,1,383a2150-384c-5d89-b3fa-5b8605df1446,,,,,,,,,https://n2t.net/ark:/15052/47c3a6de-d78a-41ee-8856-18b9681854f9,Sint-Nikolaas,Alternative,Nederlands
Alternate names,1,383a2150-384c-5d89-b3fa-5b8605df1446,,,,,,,,,https://n2t.net/ark:/15052/47c3a6de-d78a-41ee-8856-18b9681854f9,Nicolaas van Patara,Alternative,Nederlands
Alternate names,1,383a2150-384c-5d89-b3fa-5b8605df1446,,,,,,,,,https://n2t.net/ark:/15052/47c3a6de-d78a-41ee-8856-18b9681854f9,Sint-Nicolaas van Myra,Alternative,Nederlands
Alternate names,1,383a2150-384c-5d89-b3fa-5b8605df1446,,,,,,,,,https://n2t.net/ark:/15052/47c3a6de-d78a-41ee-8856-18b9681854f9,Sint-Niklaas,Alternative,Nederlands
Alternate names,1,383a2150-384c-5d89-b3fa-5b8605df1446,,,,,,,,,https://n2t.net/ark:/15052/47c3a6de-d78a-41ee-8856-18b9681854f9,Sint-Nicolaas,Alternative,Nederlands
Alternate names,1,383a2150-384c-5d89-b3fa-5b8605df1446,,,,,,,,,https://n2t.net/ark:/15052/47c3a6de-d78a-41ee-8856-18b9681854f9,Nicolaas van Bari,Alternative,Nederlands
Alternate names,1,383a2150-384c-5d89-b3fa-5b8605df1446,,,,,,,,,https://n2t.net/ark:/15052/47c3a6de-d78a-41ee-8856-18b9681854f9,Nicolaas,Alternative,Nederlands
Actors,0,3889fac8-1371-5d45-8ef7-0c661ab5bfb9,https://n2t.net/ark:/15052/06e6731e-3ce9-4a30-9372-5e5dcc112d93,Brabant Cloud ARK Identifier,Antonius Wilhelmus Oomen,"['Anton Oomen', 'Anthonius Wilhelmus Oomen', 'A.W. Oomen']",,,Primary,Nederlands,,,,
Alternate names,1,3889fac8-1371-5d45-8ef7-0c661ab5bfb9,,,,,,,,,https://n2t.net/ark:/15052/06e6731e-3ce9-4a30-9372-5e5dcc112d93,Anton Oomen,Alternative,Nederlands
Alternate names,1,3889fac8-1371-5d45-8ef7-0c661ab5bfb9,,,,,,,,,https://n2t.net/ark:/15052/06e6731e-3ce9-4a30-9372-5e5dcc112d93,Anthonius Wilhelmus Oomen,Alternative,Nederlands
Alternate names,1,3889fac8-1371-5d45-8ef7-0c661ab5bfb9,,,,,,,,,https://n2t.net/ark:/15052/06e6731e-3ce9-4a30-9372-5e5dcc112d93,A.W. Oomen,Alternative,Nederlands
Actors,0,39438927-d786-5f8b-b62d-4c9943c9bc4e,https://n2t.net/ark:/15052/fc949c23-4260-4e66-a7b6-3b91ef54047a,Brabant Cloud ARK Identifier,Nicolaas Molenaar sr.,Nicolaas Molenaar,http://www.wikidata.org/entity/Q2320936,Wikidata,Primary,Nederlands,,,,
Actors,0,3b038b75-3f6d-59da-be47-fb4e38cf9b7e,https://n2t.net/ark:/15052/6a72afa1-93e0-45e0-94ae-5c2df83cd93f,Brabant Cloud ARK Identifier,Architectenbureau Oomen Kohlmann en Waltjen BV,,,,Primary,Nederlands,,,,
Actors,0,3c3c5c5d-a627-536a-91f7-86914eb6e73f,https://n2t.net/ark:/15052/c7abd40b-04e3-46b7-a185-73ed14f6f615,Brabant Cloud ARK Identifier,M. van Roij,,,,Primary,Nederlands,,,,
Actors,0,3ccbdaf0-d5f6-5975-a98c-c17ce6d1df9f,https://n2t.net/ark:/15052/c38cbeb1-8b10-4fc9-b1af-0dd4e94ba3ab,Brabant Cloud ARK Identifier,Bartolomeüs,"['Sint Bartholomeus', 'Sint Bartholomeüs', 'Bartholomeüs', 'Bartolomeus', 'Sint-Bartholomeüs', 'Bartholomeus', 'Sint-Bartholomeus']",https://www.wikidata.org/entity/Q43982,Wikidata,Primary,Nederlands,,,,
Alternate names,1,3ccbdaf0-d5f6-5975-a98c-c17ce6d1df9f,,,,,,,,,https://n2t.net/ark:/15052/c38cbeb1-8b10-4fc9-b1af-0dd4e94ba3ab,Sint Bartholomeus,Alternative,Nederlands
Alternate names,1,3ccbdaf0-d5f6-5975-a98c-c17ce6d1df9f,,,,,,,,,https://n2t.net/ark:/15052/c38cbeb1-8b10-4fc9-b1af-0dd4e94ba3ab,Sint Bartholomeüs,Alternative,Nederlands
Alternate names,1,3ccbdaf0-d5f6-5975-a98c-c17ce6d1df9f,,,,,,,,,https://n2t.net/ark:/15052/c38cbeb1-8b10-4fc9-b1af-0dd4e94ba3ab,Bartholomeüs,Alternative,Nederlands
Alternate names,1,3ccbdaf0-d5f6-5975-a98c-c17ce6d1df9f,,,,,,,,,https://n2t.net/ark:/15052/c38cbeb1-8b10-4fc9-b1af-0dd4e94ba3ab,Bartolomeus,Alternative,Nederlands
Alternate names,1,3ccbdaf0-d5f6-5975-a98c-c17ce6d1df9f,,,,,,,,,https://n2t.net/ark:/15052/c38cbeb1-8b10-4fc9-b1af-0dd4e94ba3ab,Sint-Bartholomeüs,Alternative,Nederlands
Alternate names,1,3ccbdaf0-d5f6-5975-a98c-c17ce6d1df9f,,,,,,,,,https://n2t.net/ark:/15052/c38cbeb1-8b10-4fc9-b1af-0dd4e94ba3ab,Bartholomeus,Alternative,Nederlands
Alternate names,1,3ccbdaf0-d5f6-5975-a98c-c17ce6d1df9f,,,,,,,,,https://n2t.net/ark:/15052/c38cbeb1-8b10-4fc9-b1af-0dd4e94ba3ab,Sint-Bartholomeus,Alternative,Nederlands
Actors,0,40a09546-efe8-5c4f-b218-d2dcf7de08b0,https://n2t.net/ark:/15052/f484e675-1786-41d2-9856-b2353100455a,Brabant Cloud ARK Identifier,Jan Stuyt,J. Stuyt,https://www.wikidata.org/entity/Q2186472,Wikidata,Primary,Nederlands,,,,
Actors,0,40c9b0b3-581c-5bdd-85a7-9d321bb1815f,https://n2t.net/ark:/15052/6e38c8ee-f194-4653-99f7-61c8a17a04d5,Brabant Cloud ARK Identifier,M. van der Made,,,,Primary,Nederlands,,,,
Actors,0,40e52c18-47af-5e1f-8d8a-ac1f59355348,https://n2t.net/ark:/15052/0303c083-d3c7-49fe-b883-ab03b940e4e1,Brabant Cloud ARK Identifier,Cornelius,"['Paus Cornelius', 'H. Cornelius', 'Sint-Cornelius', 'Sint Knillis', 'Heilige Cornelius', 'St. Cornelius', 'Sint Cornelius']",https://www.wikidata.org/entity/Q54798,Wikidata,Primary,Nederlands,,,,
Alternate names,1,40e52c18-47af-5e1f-8d8a-ac1f59355348,,,,,,,,,https://n2t.net/ark:/15052/0303c083-d3c7-49fe-b883-ab03b940e4e1,Paus Cornelius,Alternative,Nederlands
Alternate names,1,40e52c18-47af-5e1f-8d8a-ac1f59355348,,,,,,,,,https://n2t.net/ark:/15052/0303c083-d3c7-49fe-b883-ab03b940e4e1,H. Cornelius,Alternative,Nederlands
Alternate names,1,40e52c18-47af-5e1f-8d8a-ac1f59355348,,,,,,,,,https://n2t.net/ark:/15052/0303c083-d3c7-49fe-b883-ab03b940e4e1,Sint-Cornelius,Alternative,Nederlands
Alternate names,1,40e52c18-47af-5e1f-8d8a-ac1f59355348,,,,,,,,,https://n2t.net/ark:/15052/0303c083-d3c7-49fe-b883-ab03b940e4e1,Sint Knillis,Alternative,Nederlands
Alternate names,1,40e52c18-47af-5e1f-8d8a-ac1f59355348,,,,,,,,,https://n2t.net/ark:/15052/0303c083-d3c7-49fe-b883-ab03b940e4e1,Heilige Cornelius,Alternative,Nederlands
Alternate names,1,40e52c18-47af-5e1f-8d8a-ac1f59355348,,,,,,,,,https://n2t.net/ark:/15052/0303c083-d3c7-49fe-b883-ab03b940e4e1,St. Cornelius,Alternative,Nederlands
Alternate names,1,40e52c18-47af-5e1f-8d8a-ac1f59355348,,,,,,,,,https://n2t.net/ark:/15052/0303c083-d3c7-49fe-b883-ab03b940e4e1,Sint Cornelius,Alternative,Nederlands
Actors,0,4174c321-76f4-5f35-ae67-7cf508e4216e,https://n2t.net/ark:/15052/5e7489c5-9fce-4c55-8833-4f2d8911076c,Brabant Cloud ARK Identifier,Johannes de Doper,"['Johannes-de-Doper', 'Johannes die Doper', 'Johannes Baptista', 'Jahja', 'Sint Jan de Doper', 'Sint-Jan Baptist', 'Sint-Jan de Joper', 'Sint-Jan-Baptist', 'Sint-Johannes de Doper', 'Yahya', 'H. Joannes Baptista', 'St. Jan de Doper']",http://www.wikidata.org/entity/Q40662,Wikidata,Primary,Nederlands,,,,
Alternate names,1,4174c321-76f4-5f35-ae67-7cf508e4216e,,,,,,,,,https://n2t.net/ark:/15052/5e7489c5-9fce-4c55-8833-4f2d8911076c,Johannes-de-Doper,Alternative,Nederlands
Alternate names,1,4174c321-76f4-5f35-ae67-7cf508e4216e,,,,,,,,,https://n2t.net/ark:/15052/5e7489c5-9fce-4c55-8833-4f2d8911076c,Johannes die Doper,Alternative,Nederlands
Alternate names,1,4174c321-76f4-5f35-ae67-7cf508e4216e,,,,,,,,,https://n2t.net/ark:/15052/5e7489c5-9fce-4c55-8833-4f2d8911076c,Johannes Baptista,Alternative,Nederlands
Alternate names,1,4174c321-76f4-5f35-ae67-7cf508e4216e,,,,,,,,,https://n2t.net/ark:/15052/5e7489c5-9fce-4c55-8833-4f2d8911076c,Jahja,Alternative,Nederlands
Alternate names,1,4174c321-76f4-5f35-ae67-7cf508e4216e,,,,,,,,,https://n2t.net/ark:/15052/5e7489c5-9fce-4c55-8833-4f2d8911076c,Sint Jan de Doper,Alternative,Nederlands
Alternate names,1,4174c321-76f4-5f35-ae67-7cf508e4216e,,,,,,,,,https://n2t.net/ark:/15052/5e7489c5-9fce-4c55-8833-4f2d8911076c,Sint-Jan Baptist,Alternative,Nederlands
Alternate names,1,4174c321-76f4-5f35-ae67-7cf508e4216e,,,,,,,,,https://n2t.net/ark:/15052/5e7489c5-9fce-4c55-8833-4f2d8911076c,Sint-Jan de Joper,Alternative,Nederlands
Alternate names,1,4174c321-76f4-5f35-ae67-7cf508e4216e,,,,,,,,,https://n2t.net/ark:/15052/5e7489c5-9fce-4c55-8833-4f2d8911076c,Sint-Jan-Baptist,Alternative,Nederlands
Alternate names,1,4174c321-76f4-5f35-ae67-7cf508e4216e,,,,,,,,,https://n2t.net/ark:/15052/5e7489c5-9fce-4c55-8833-4f2d8911076c,Sint-Johannes de Doper,Alternative,Nederlands
Alternate names,1,4174c321-76f4-5f35-ae67-7cf508e4216e,,,,,,,,,https://n2t.net/ark:/15052/5e7489c5-9fce-4c55-8833-4f2d8911076c,Yahya,Alternative,Nederlands
Alternate names,1,4174c321-76f4-5f35-ae67-7cf508e4216e,,,,,,,,,https://n2t.net/ark:/15052/5e7489c5-9fce-4c55-8833-4f2d8911076c,H. Joannes Baptista,Alternative,Nederlands
Alternate names,1,4174c321-76f4-5f35-ae67-7cf508e4216e,,,,,,,,,https://n2t.net/ark:/15052/5e7489c5-9fce-4c55-8833-4f2d8911076c,St. Jan de Doper,Alternative,Nederlands
Actors,0,4218dc72-a6b6-5b41-93bc-61118b5f6390,https://n2t.net/ark:/15052/adf93d85-ab2e-4bd6-95cf-768a1496add6,Brabant Cloud ARK Identifier,A. Slootmakers S.J.,,,,Primary,Nederlands,,,,
Actors,0,425333bb-475a-5767-bcb1-9eede0bf9bae,https://n2t.net/ark:/15052/d0c72a9d-60fd-4d3b-a31d-8455f0237d67,Brabant Cloud ARK Identifier,Harrie Huijbers,,,,Primary,Nederlands,,,,
Actors,0,429dd5c1-98f5-5790-bf23-1dd9d2a77059,https://n2t.net/ark:/15052/e639a40a-0cea-4a1e-992a-b8225f9da201,Brabant Cloud ARK Identifier,Laurentius van Rome,"['Sint-Laurentius', 'Sint-Laurens']",https://www.wikidata.org/entity/Q17590,Wikidata,Primary,Nederlands,,,,
Alternate names,1,429dd5c1-98f5-5790-bf23-1dd9d2a77059,,,,,,,,,https://n2t.net/ark:/15052/e639a40a-0cea-4a1e-992a-b8225f9da201,Sint-Laurentius,Alternative,Nederlands
Alternate names,1,429dd5c1-98f5-5790-bf23-1dd9d2a77059,,,,,,,,,https://n2t.net/ark:/15052/e639a40a-0cea-4a1e-992a-b8225f9da201,Sint-Laurens,Alternative,Nederlands
Actors,0,434347ec-6a64-5927-8b4f-7977e026343b,https://n2t.net/ark:/15052/18df479b-f806-4b5d-9e80-d7c2a60a654d,Brabant Cloud ARK Identifier,P. Drijvers,,,,Primary,Nederlands,,,,
Actors,0,4466e3da-1cb8-5a60-a2c4-b33380be89b6,https://n2t.net/ark:/15052/58264d9e-af62-4121-a2fb-c049c4a49820,Brabant Cloud ARK Identifier,Cornelis Sprengers,C. Sprengers,https://www.wikidata.org/entity/Q107057616,Wikidata,Primary,Nederlands,,,,
Actors,0,44ebd0eb-cd36-56ab-bb95-93215d9e159e,https://n2t.net/ark:/15052/e2e3787a-9b89-4761-b91c-84b55ad77acc,Brabant Cloud ARK Identifier,Jan van Dijk,,,,Primary,Nederlands,,,,
Actors,0,45089b37-bf05-5076-a3e8-f97e7766e0e5,https://n2t.net/ark:/15052/a47a3cdc-58d3-4de9-a666-d36764c9b2d8,Brabant Cloud ARK Identifier,Modestus Stephanus Glorieux,"['M.S. Glorieux', 'Stefaan Modest Glorieux', 'Glorieux', 'Stefaan Glorieux', 'Etienne Modest Glorieux', 'E.M Glorieux']",https://www.wikidata.org/entity/Q2652269,Wikidata,Primary,Nederlands,,,,
Alternate names,1,45089b37-bf05-5076-a3e8-f97e7766e0e5,,,,,,,,,https://n2t.net/ark:/15052/a47a3cdc-58d3-4de9-a666-d36764c9b2d8,M.S. Glorieux,Alternative,Nederlands
Alternate names,1,45089b37-bf05-5076-a3e8-f97e7766e0e5,,,,,,,,,https://n2t.net/ark:/15052/a47a3cdc-58d3-4de9-a666-d36764c9b2d8,Stefaan Modest Glorieux,Alternative,Nederlands
Alternate names,1,45089b37-bf05-5076-a3e8-f97e7766e0e5,,,,,,,,,https://n2t.net/ark:/15052/a47a3cdc-58d3-4de9-a666-d36764c9b2d8,Glorieux,Alternative,Nederlands
Alternate names,1,45089b37-bf05-5076-a3e8-f97e7766e0e5,,,,,,,,,https://n2t.net/ark:/15052/a47a3cdc-58d3-4de9-a666-d36764c9b2d8,Stefaan Glorieux,Alternative,Nederlands
Alternate names,1,45089b37-bf05-5076-a3e8-f97e7766e0e5,,,,,,,,,https://n2t.net/ark:/15052/a47a3cdc-58d3-4de9-a666-d36764c9b2d8,Etienne Modest Glorieux,Alternative,Nederlands
Alternate names,1,45089b37-bf05-5076-a3e8-f97e7766e0e5,,,,,,,,,https://n2t.net/ark:/15052/a47a3cdc-58d3-4de9-a666-d36764c9b2d8,E.M Glorieux,Alternative,Nederlands
Actors,0,454a9dfd-62b5-58c9-9851-010a18c70b76,https://n2t.net/ark:/15052/18ead91c-ea02-4ba0-a73c-6025e853e469,Brabant Cloud ARK Identifier,Th. van den Acker,,,,Primary,Nederlands,,,,
Actors,0,457c5aa3-40b0-5889-9474-48cfd3902cda,https://n2t.net/ark:/15052/c143b89a-1c29-4f95-880e-f0436270220f,Brabant Cloud ARK Identifier,J. Bongartz,,,,Primary,Nederlands,,,,
Actors,0,467b55ff-618b-5f42-8f5e-6ee7d9ae5d4d,https://n2t.net/ark:/15052/0459b904-df66-482f-9dd1-374c8330315d,Brabant Cloud ARK Identifier,Architectenbureau Jos en Pierre Cuypers,,,,Primary,Nederlands,,,,
Actors,0,4748ee0d-1461-5132-b0e3-5b4f09630d9f,https://n2t.net/ark:/15052/48b28102-4894-4bf6-a7e5-5a2189b8302c,Brabant Cloud ARK Identifier,Architectenbureau G. en C.G. Geenen,"['Architectenkantoor', 'Ingenieursbureau G. en C.G. Geenen', 'Architecten- en Ingenieurskantoor G. Geenen en Zn.', 'Architectenkantoor Geenen', 'Architectenbureau G. en Ir. C.G. Geenen', 'Architectenbureau Geenen']",,,Primary,Nederlands,,,,
Alternate names,1,4748ee0d-1461-5132-b0e3-5b4f09630d9f,,,,,,,,,https://n2t.net/ark:/15052/48b28102-4894-4bf6-a7e5-5a2189b8302c,Architectenkantoor,Alternative,Nederlands
Alternate names,1,4748ee0d-1461-5132-b0e3-5b4f09630d9f,,,,,,,,,https://n2t.net/ark:/15052/48b28102-4894-4bf6-a7e5-5a2189b8302c,Ingenieursbureau G. en C.G. Geenen,Alternative,Nederlands
Alternate names,1,4748ee0d-1461-5132-b0e3-5b4f09630d9f,,,,,,,,,https://n2t.net/ark:/15052/48b28102-4894-4bf6-a7e5-5a2189b8302c,Architecten- en Ingenieurskantoor G. Geenen en Zn.,Alternative,Nederlands
Alternate names,1,4748ee0d-1461-5132-b0e3-5b4f09630d9f,,,,,,,,,https://n2t.net/ark:/15052/48b28102-4894-4bf6-a7e5-5a2189b8302c,Architectenkantoor Geenen,Alternative,Nederlands
Alternate names,1,4748ee0d-1461-5132-b0e3-5b4f09630d9f,,,,,,,,,https://n2t.net/ark:/15052/48b28102-4894-4bf6-a7e5-5a2189b8302c,Architectenbureau G. en Ir. C.G. Geenen,Alternative,Nederlands
Alternate names,1,4748ee0d-1461-5132-b0e3-5b4f09630d9f,,,,,,,,,https://n2t.net/ark:/15052/48b28102-4894-4bf6-a7e5-5a2189b8302c,Architectenbureau Geenen,Alternative,Nederlands
Actors,0,479fbf8b-40ef-5795-958e-4ed7d4933d41,https://n2t.net/ark:/15052/a8bcc958-8118-4310-a7da-09ec86fe6e17,Brabant Cloud ARK Identifier,Jac van Alphen,,,,Primary,Nederlands,,,,
Actors,0,48dfc579-b9bf-583c-a871-0ecbe648818e,https://n2t.net/ark:/15052/a6b71c6c-f2d0-4c37-992c-e89882f464fa,Brabant Cloud ARK Identifier,Vincentius a Paulo,"['Vincent Depaul', 'Sint-Vincentius a Paulo', 'Vincentius van Paolo', 'Sint-Vincentius a Paolo', 'Vincent de Paul']",https://www.wikidata.org/entity/Q244413,Wikidata,Primary,Nederlands,,,,
Alternate names,1,48dfc579-b9bf-583c-a871-0ecbe648818e,,,,,,,,,https://n2t.net/ark:/15052/a6b71c6c-f2d0-4c37-992c-e89882f464fa,Vincent Depaul,Alternative,Nederlands
Alternate names,1,48dfc579-b9bf-583c-a871-0ecbe648818e,,,,,,,,,https://n2t.net/ark:/15052/a6b71c6c-f2d0-4c37-992c-e89882f464fa,Sint-Vincentius a Paulo,Alternative,Nederlands
Alternate names,1,48dfc579-b9bf-583c-a871-0ecbe648818e,,,,,,,,,https://n2t.net/ark:/15052/a6b71c6c-f2d0-4c37-992c-e89882f464fa,Vincentius van Paolo,Alternative,Nederlands
Alternate names,1,48dfc579-b9bf-583c-a871-0ecbe648818e,,,,,,,,,https://n2t.net/ark:/15052/a6b71c6c-f2d0-4c37-992c-e89882f464fa,Sint-Vincentius a Paolo,Alternative,Nederlands
Alternate names,1,48dfc579-b9bf-583c-a871-0ecbe648818e,,,,,,,,,https://n2t.net/ark:/15052/a6b71c6c-f2d0-4c37-992c-e89882f464fa,Vincent de Paul,Alternative,Nederlands
Actors,0,49bd5f4b-4f00-5018-9902-8aece574e08d,https://n2t.net/ark:/15052/5eec7aae-1589-4935-8752-3e7ed69e1e2c,Brabant Cloud ARK Identifier,Antonius van Padua,"['Sint-Anthonius van Padua', 'Sint Anthonius van Padua', 'Heilige Antonius', 'H. Antonius']",https://www.wikidata.org/entity/Q167477,Wikidata,Primary,Nederlands,,,,
Alternate names,1,49bd5f4b-4f00-5018-9902-8aece574e08d,,,,,,,,,https://n2t.net/ark:/15052/5eec7aae-1589-4935-8752-3e7ed69e1e2c,Sint-Anthonius van Padua,Alternative,Nederlands
Alternate names,1,49bd5f4b-4f00-5018-9902-8aece574e08d,,,,,,,,,https://n2t.net/ark:/15052/5eec7aae-1589-4935-8752-3e7ed69e1e2c,Sint Anthonius van Padua,Alternative,Nederlands
Alternate names,1,49bd5f4b-4f00-5018-9902-8aece574e08d,,,,,,,,,https://n2t.net/ark:/15052/5eec7aae-1589-4935-8752-3e7ed69e1e2c,Heilige Antonius,Alternative,Nederlands
Alternate names,1,49bd5f4b-4f00-5018-9902-8aece574e08d,,,,,,,,,https://n2t.net/ark:/15052/5eec7aae-1589-4935-8752-3e7ed69e1e2c,H. Antonius,Alternative,Nederlands
Actors,0,4a414cff-488f-5efa-8111-277ef7c6e96b,https://n2t.net/ark:/15052/eed2c971-3f92-4325-9e18-32ad57a2a967,Brabant Cloud ARK Identifier,Th.J. Klompers,,,,Primary,Nederlands,,,,
Actors,0,4b2ccc87-be96-5f11-bc39-d4aceab43116,https://n2t.net/ark:/15052/05bab79d-0787-4d05-85d7-3e8a95eecf1c,Brabant Cloud ARK Identifier,J.H.W. Elemans,,,,Primary,Nederlands,,,,
Actors,0,4bff85ba-e0e1-51b1-af5b-712a79df18bf,https://n2t.net/ark:/15052/1da260cd-ed8e-4602-a765-fb8050691240,Brabant Cloud ARK Identifier,Christiaan van Liempd,Chris van Liempd,,,Primary,Nederlands,,,,
Actors,0,4c25357c-159e-58cd-98a5-a8f77914d764,https://n2t.net/ark:/15052/8c41c81c-a2bc-4eea-9b0e-3aef33b39e27,Brabant Cloud ARK Identifier,Joseph Franssen,"['J. Fransen', 'J. Franssen', 'Joseph Fransen', 'Joseph Gustave Constant Franssen', 'J.G.C Franssen']",https://www.wikidata.org/entity/Q2001666,Wikidata,Primary,Nederlands,,,,
Alternate names,1,4c25357c-159e-58cd-98a5-a8f77914d764,,,,,,,,,https://n2t.net/ark:/15052/8c41c81c-a2bc-4eea-9b0e-3aef33b39e27,J. Fransen,Alternative,Nederlands
Alternate names,1,4c25357c-159e-58cd-98a5-a8f77914d764,,,,,,,,,https://n2t.net/ark:/15052/8c41c81c-a2bc-4eea-9b0e-3aef33b39e27,J. Franssen,Alternative,Nederlands
Alternate names,1,4c25357c-159e-58cd-98a5-a8f77914d764,,,,,,,,,https://n2t.net/ark:/15052/8c41c81c-a2bc-4eea-9b0e-3aef33b39e27,Joseph Fransen,Alternative,Nederlands
Alternate names,1,4c25357c-159e-58cd-98a5-a8f77914d764,,,,,,,,,https://n2t.net/ark:/15052/8c41c81c-a2bc-4eea-9b0e-3aef33b39e27,Joseph Gustave Constant Franssen,Alternative,Nederlands
Alternate names,1,4c25357c-159e-58cd-98a5-a8f77914d764,,,,,,,,,https://n2t.net/ark:/15052/8c41c81c-a2bc-4eea-9b0e-3aef33b39e27,J.G.C Franssen,Alternative,Nederlands
Actors,0,4cbdba98-5a7c-5079-9a1b-b8bb97484022,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Brabant Cloud ARK Identifier,Agatha van Sicilië,"['Agatha van Sicil', 'Heilige Agatha van Catania', 'Agatha van Sicilie', 'Sint-Agatha', 'Agata van Sicilie', 'Agatha van Catania', 'Agata van Sicilië', 'Agata van Catania', 'Agaat van Sicilië', 'Agaat van Sicilie', 'Agaat van Sicil', 'Agaat van Catania', 'Heilige Agatha van Sicilië', 'St. Agatha', 'Agatha van Sicilië', 'Sint Agatha']",https://www.wikidata.org/entity/Q200895,Wikidata,Primary,Nederlands,,,,
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Agatha van Sicil,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Heilige Agatha van Catania,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Agatha van Sicilie,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Sint-Agatha,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Agata van Sicilie,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Agatha van Catania,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Agata van Sicilië,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Agata van Catania,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Agaat van Sicilië,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Agaat van Sicilie,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Agaat van Sicil,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Agaat van Catania,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Heilige Agatha van Sicilië,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,St. Agatha,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Agatha van Sicilië,Alternative,Nederlands
Alternate names,1,4cbdba98-5a7c-5079-9a1b-b8bb97484022,,,,,,,,,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Sint Agatha,Alternative,Nederlands
