card,card_order,ResourceID,identifier_content,identifier_type,name_givenname,alt_names,other_identifier_content,other_identifier_type,name_type,name_language,id,alternative_name_content,alternative_name_content_type,alternative_name_content_language
Actors,0,052002ac-47ad-5d78-abcf-738adaec629e,https://n2t.net/ark:/15052/deb3ce2e-e8ad-4ca6-bc6a-1f1d781bc3e5,Brabant Cloud ARK Identifier,L. de Vries,,,,Primary,Nederlands,,,,
Actors,0,05a35e16-1b3f-596a-9861-81c736278cac,https://n2t.net/ark:/15052/566a1ff8-5e3c-4949-962f-1359b2f1418b,Brabant Cloud ARK Identifier,Justinus Backx,,,,Primary,Nederlands,,,,
Actors,0,0707b621-032a-5dc8-a36b-05767ff34ddc,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Brabant Cloud ARK Identifier,Jakobus de Rechtvaardige,"['Jacobus de Rechtvaardige', 'Jakobus de Mindere', 'Jacobus', 'Broer van Jezus', 'Jakobus de Jongere', 'Jakobus Apostel Minor', 'Jacobus de Mindere', 'Jacobus Apostel Minor', 'Jacobus de Jongere', 'Jakobus']",http://www.wikidata.org/entity/Q26925,Wikidata,Primary,Nederlands,,,,
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jacobus de Rechtvaardige,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jakobus de Mindere,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jacobus,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Broer van Jezus,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jakobus de Jongere,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jakobus Apostel Minor,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jacobus de Mindere,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jacobus Apostel Minor,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jacobus de Jongere,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jakobus,Alternative,Nederlands
Actors,0,0759fb60-9fa4-5014-abf4-4988523716a9,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Brabant Cloud ARK Identifier,Maria-Tenhemelopneming,"['De Tenhemelopneming van Maria', 'Maria Tenhemelopneming', 'Maria-ten-Hemelopneming', 'Onze-Lieve-Vrouw Hemelvaart', 'Onze-Lieve-Vrouw Ten Hemelopneming', 'Hemelvaart van Maria', 'Maria ten hemel opgenomen', 'Maria-Hemelvaart', 'O. L. Vrouw ten Hemel Opgenomen', 'Onze Lieve Vrouwe ten Hemelopneming', 'Onze-Lieve-Vrouw ten Hemel Opgenomen', 'Maria Hemelvaart', 'O.L. Vrouw Hemelvaart']",https://www.wikidata.org/entity/Q162691,Wikidata,Primary,Nederlands,,,,
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,De Tenhemelopneming van Maria,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Maria Tenhemelopneming,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Maria-ten-Hemelopneming,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Onze-Lieve-Vrouw Hemelvaart,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Onze-Lieve-Vrouw Ten Hemelopneming,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Hemelvaart van Maria,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Maria ten hemel opgenomen,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Maria-Hemelvaart,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,O. L. Vrouw ten Hemel Opgenomen,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Onze Lieve Vrouwe ten Hemelopneming,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Onze-Lieve-Vrouw ten Hemel Opgenomen,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,Maria Hemelvaart,Alternative,Nederlands
Alternate names,1,0759fb60-9fa4-5014-abf4-4988523716a9,,,,,,,,,https://n2t.net/ark:/15052/e5d2ccc2-427b-4ecc-8508-0c848974e090,O.L. Vrouw Hemelvaart,Alternative,Nederlands
Actors,0,08355fd2-39b9-5c85-9206-cc180cc8586c,https://n2t.net/ark:/15052/0ff4cf4d-4006-40db-bee5-d2f8913a8bae,Brabant Cloud ARK Identifier,G. Opstelten,,,,Primary,Nederlands,,,,
Actors,0,08907c36-7770-5c5b-b105-4871215efa7f,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Brabant Cloud ARK Identifier,Sebastiaan,"['Sint Sebastiaan', 'Sint Sebastianus', 'St. Sebastiaan', 'St.-Sebastiaan', 'St.-Sebastianus', 'Sint-Sebastianus', 'Sint-Sebastiaan', 'St. Sebastianus']",https://www.wikidata.org/entity/Q183332,Wikidata,Primary,Nederlands,,,,
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Sint Sebastiaan,Alternative,Nederlands
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Sint Sebastianus,Alternative,Nederlands
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,St. Sebastiaan,Alternative,Nederlands
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,St.-Sebastiaan,Alternative,Nederlands
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,St.-Sebastianus,Alternative,Nederlands
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Sint-Sebastianus,Alternative,Nederlands
